电影名,评论人数,
战狼2,"
521558人评价
"
红海行动,"
415707人评价
"
唐人街探案2,"
370672人评价
"
美人鱼,"
435997人评价
"
捉妖记,"
141567人评价
"
捉妖记2,"
141567人评价
"
羞羞的铁拳,"
355372人评价
"
变形金刚4：绝迹重生,"
203799人评价
"
前任3：再见前任,"
208737人评价
"
功夫瑜伽,"
113077人评价
"
寻龙诀,"
362529人评价
"
西游伏妖篇,"
243926人评价
"
港囧,"
229055人评价
"
夏洛特烦恼,null
芳华,null
后来的我们,"
128565人评价
"
人再囧途之泰囧,"
461422人评价
"
西游降魔篇,"
374143人评价
"
西游记之孙悟空三打白骨精,"
102032人评价
"
湄公河行动,"
390879人评价
"
长城,null
心花路放,"
268634人评价
"
煎饼侠,"
225362人评价
"
澳门风云3,"
73873人评价
"
乘风破浪,"
333275人评价
"
西游记之大闹天宫,"
108052人评价
"
盗墓笔记,"
43134人评价
"
功夫熊猫3,"
187825人评价
"
澳门风云2,"
94737人评价
"
西游记之大圣归来,"
393921人评价
"
老炮儿,"
431560人评价
"
绝地逃亡,"
61399人评价
"
智取威虎山,"
225205人评价
"
十二生肖,"
196629人评价
"
碟中谍5：神秘国度,"
185143人评价
"
唐人街探案,"
370677人评价
"
超时空同居,"
105140人评价
"
从你的全世界路过,"
175264人评价
"
北京遇上西雅图之不二情书,"
161986人评价
"
叶问3,"
76664人评价
"
大闹天竺,"
72439人评价
"
钢铁侠3,"
230492人评价
"
无问西东,"
277910人评价
"
天将雄师,"
72613人评价
"
西游记女儿国,"
75983人评价
"
致我们终将逝去的青春,"
350248人评价
"
私人订制,"
190857人评价
"
狼图腾,"
152197人评价
"
画皮2,"
171133人评价
"
铁道飞虎,"
64652人评价
"
爸爸去哪儿,"
56677人评价
"
